Spec,Disabled,Entry,Parking
COUPE,N,10,10000
COUPE,N,20,10000
COUPE,N,30,10000
COUPE,N,40,10000
COUPE,N,50,10000
COUPE,N,60,10000
COUPE,N,70,10000
COUPE,N,80,10000
COUPE,N,90,10000
COUPE,N,100,10000
COUPE,N,110,10000
COUPE,N,120,10000
COUPE,N,130,10000
COUPE,N,140,10000
COUPE,N,150,10000
COUPE,N,160,10000
COUPE,N,170,10000
COUPE,N,180,10000
COUPE,N,190,10000
COUPE,N,200,10000
COUPE,N,210,10000
COUPE,N,220,10000
COUPE,N,230,10000
COUPE,N,240,10000
COUPE,N,250,10000
COUPE,N,260,10000
COUPE,N,270,10000
COUPE,N,280,10000
COUPE,N,290,10000
COUPE,N,300,10000
COUPE,N,310,10000
COUPE,N,320,10000
COUPE,N,330,10000
COUPE,N,340,10000
COUPE,N,350,10000
COUPE,N,360,10000
COUPE,N,370,10000
COUPE,N,380,10000
COUPE,N,390,10000
COUPE,N,400,10000
COUPE,N,410,10000
COUPE,N,420,10000
COUPE,N,430,10000
COUPE,N,440,10000
COUPE,N,450,10000
COUPE,N,460,10000
COUPE,N,470,10000
COUPE,N,480,10000
COUPE,N,490,10000
COUPE,N,500,10000
COUPE,N,510,10000
COUPE,N,520,10000
COUPE,N,530,10000
COUPE,N,540,10000
COUPE,N,550,10000
COUPE,N,560,10000
COUPE,N,570,10000
COUPE,N,580,10000
COUPE,N,590,10000
COUPE,N,600,10000
COUPE,N,610,10000
COUPE,N,620,10000
COUPE,N,630,10000
COUPE,N,640,10000
COUPE,N,650,10000
COUPE,N,660,10000
COUPE,N,670,10000
COUPE,N,680,10000
COUPE,N,690,10000
COUPE,N,700,10000
COUPE,N,710,10000
COUPE,N,720,10000
COUPE,N,730,10000
COUPE,N,740,10000
COUPE,N,750,10000
COUPE,N,760,10000
COUPE,N,770,10000
COUPE,N,780,10000
COUPE,N,790,10000
COUPE,N,800,10000
COUPE,N,810,10000
COUPE,N,820,10000
COUPE,N,830,10000
COUPE,N,840,10000
COUPE,N,850,10000
COUPE,N,860,10000
COUPE,N,870,10000
COUPE,N,880,10000
COUPE,N,890,10000
COUPE,N,900,10000
COUPE,N,910,10000
COUPE,N,920,10000
COUPE,N,930,10000
COUPE,N,940,10000
COUPE,N,950,10000
COUPE,N,960,10000
COUPE,N,970,10000
COUPE,N,980,10000
COUPE,N,990,10000
COUPE,N,1000,10000
COUPE,N,1010,10000
COUPE,N,1020,10000
COUPE,N,1030,10000
COUPE,N,1040,10000
COUPE,N,1050,10000
COUPE,N,1060,10000
COUPE,N,1070,10000
COUPE,N,1080,10000
COUPE,N,1090,10000
COUPE,N,1100,10000
COUPE,N,1110,10000
COUPE,N,1120,10000
COUPE,N,1130,10000
COUPE,N,1140,10000
COUPE,N,1150,10000
COUPE,N,1160,10000
COUPE,N,1170,10000
COUPE,N,1180,10000
COUPE,N,1190,10000
COUPE,N,1200,10000
COUPE,N,1210,10000
COUPE,N,1220,10000
COUPE,N,1230,10000
COUPE,N,1240,10000
COUPE,N,1250,10000
COUPE,N,1260,10000
COUPE,N,1270,10000
COUPE,N,1280,10000
COUPE,N,1290,10000
COUPE,N,1300,10000
COUPE,N,1310,10000
COUPE,N,1320,10000
COUPE,N,1330,10000
COUPE,N,1340,10000
COUPE,N,1350,10000
COUPE,N,1360,10000
COUPE,N,1370,10000
COUPE,N,1380,10000
COUPE,N,1390,10000
COUPE,N,1400,10000
COUPE,N,1410,10000
COUPE,N,1420,10000
COUPE,N,1430,10000
COUPE,N,1440,10000
COUPE,N,1450,10000
COUPE,N,1460,10000
COUPE,N,1470,10000
COUPE,N,1480,10000
COUPE,N,1490,10000
COUPE,N,1500,10000
COUPE,N,1510,10000
COUPE,N,1520,10000
COUPE,N,1530,10000
COUPE,N,1540,10000
COUPE,N,1550,10000
COUPE,N,1560,10000
COUPE,N,1570,10000
COUPE,N,1580,10000
COUPE,N,1590,10000
COUPE,N,1600,10000
COUPE,N,1610,10000
COUPE,N,1620,10000
COUPE,N,1630,10000
COUPE,N,1640,10000
COUPE,N,1650,10000
COUPE,N,1660,10000
COUPE,N,1670,10000
COUPE,N,1680,10000
COUPE,N,1690,10000
COUPE,N,1700,10000
COUPE,N,1710,10000
