Spec,Disabled,Entry,Parking
SEDAN,N,10,10000
SEDAN,Y,20,10000
SEDAN,N,30,10000
SEDAN,N,40,10000
SEDAN,N,50,10000
SEDAN,N,60,10000
SEDAN,N,70,10000
SEDAN,N,80,10000
SEDAN,N,90,10000
SEDAN,N,100,10000
SEDAN,N,110,10000
SEDAN,N,120,10000
SEDAN,N,130,10000
SEDAN,N,140,10000
SEDAN,N,150,10000
SEDAN,N,160,10000
SEDAN,N,170,10000
SEDAN,N,180,10000
SEDAN,N,190,10000
SEDAN,N,200,10000
SEDAN,N,210,10000
SEDAN,N,220,10000
SEDAN,N,230,10000
SEDAN,N,240,10000
SEDAN,N,250,10000
SEDAN,N,260,10000
SEDAN,N,270,10000
SEDAN,N,280,10000
SEDAN,N,290,10000
SEDAN,N,300,10000
SEDAN,N,310,10000
SEDAN,N,320,10000
SEDAN,Y,330,10000
SEDAN,N,340,10000
SEDAN,N,350,10000
SEDAN,N,360,10000
SEDAN,N,370,10000
SEDAN,N,380,10000
SEDAN,N,390,10000
SEDAN,N,400,10000
SEDAN,N,410,10000
SEDAN,N,420,10000
SEDAN,N,430,10000
SEDAN,N,440,10000
SEDAN,N,450,10000
SEDAN,N,460,10000
SEDAN,N,470,10000
SEDAN,N,480,10000
SEDAN,N,490,10000
SEDAN,N,500,10000
SEDAN,Y,510,10000
SEDAN,N,520,10000
SEDAN,N,530,10000
SEDAN,N,540,10000
SEDAN,N,550,10000
SEDAN,N,560,10000
SEDAN,N,570,10000
SEDAN,N,580,10000
SEDAN,N,590,10000
SEDAN,N,600,10000
SEDAN,N,610,10000
SEDAN,N,620,10000
SEDAN,N,630,10000
SEDAN,N,640,10000
SEDAN,N,650,10000
SEDAN,N,660,10000
SEDAN,N,670,10000
SEDAN,N,680,10000
SEDAN,N,690,10000
SEDAN,N,700,10000
SEDAN,N,710,10000
SEDAN,N,720,10000
SEDAN,N,730,10000
SEDAN,N,740,10000
SEDAN,N,750,10000
SEDAN,N,760,10000
SEDAN,N,770,10000
SEDAN,N,780,10000
SEDAN,N,790,10000
SEDAN,N,800,10000
SEDAN,N,810,10000
SEDAN,N,820,10000
SEDAN,N,830,10000
SEDAN,N,840,10000
SEDAN,N,850,10000
SEDAN,N,860,10000
SEDAN,N,870,10000
SEDAN,N,880,10000
SEDAN,N,890,10000
SEDAN,N,900,10000
SEDAN,N,910,10000
SEDAN,N,920,10000
SEDAN,N,930,10000
SEDAN,N,940,10000
SEDAN,N,950,10000
SEDAN,N,960,10000
SEDAN,N,970,10000
SEDAN,N,980,10000
SEDAN,N,990,10000
SEDAN,N,1000,10000
SEDAN,N,1010,10000
SEDAN,N,1020,10000
SEDAN,N,1030,10000
SEDAN,N,1040,10000
SEDAN,N,1050,10000
SEDAN,N,1060,10000
SEDAN,N,1070,10000
SEDAN,N,1080,10000
SEDAN,Y,1090,10000
SEDAN,N,1100,10000
SEDAN,Y,1110,10000
SEDAN,N,1120,10000
SEDAN,N,1130,10000
SEDAN,N,1140,10000
SEDAN,N,1150,10000
SEDAN,N,1160,10000
SEDAN,N,1170,10000
SEDAN,N,1180,10000
SEDAN,N,1190,10000
SEDAN,N,1200,10000
SEDAN,N,1210,10000
SEDAN,N,1220,10000
SEDAN,N,1230,10000
SEDAN,N,1240,10000
SEDAN,N,1250,10000
SEDAN,N,1260,10000
SEDAN,N,1270,10000
SEDAN,N,1280,10000
SEDAN,N,1290,10000
SEDAN,N,1300,10000
SEDAN,N,1310,10000
SEDAN,N,1320,10000
SEDAN,N,1330,10000
SEDAN,N,1340,10000
SEDAN,N,1350,10000
SEDAN,N,1360,10000
SEDAN,N,1370,10000
SEDAN,N,1380,10000
SEDAN,N,1390,10000
SEDAN,N,1400,10000
SEDAN,N,1410,10000
SEDAN,N,1420,10000
SEDAN,N,1430,10000
SEDAN,N,1440,10000
SEDAN,N,1450,10000
SEDAN,N,1460,10000
SEDAN,N,1470,10000
SEDAN,N,1480,10000
SEDAN,N,1490,10000
SEDAN,N,1500,10000
SEDAN,N,1510,10000
SEDAN,N,1520,10000
SEDAN,N,1530,10000
SEDAN,N,1540,10000
SEDAN,N,1550,10000
SEDAN,N,1560,10000
SEDAN,N,1570,10000
SEDAN,N,1580,10000
SEDAN,N,1590,10000
SEDAN,N,1600,10000
SEDAN,N,1610,10000
SEDAN,N,1620,10000
SEDAN,N,1630,10000
SEDAN,N,1640,10000
SEDAN,N,1650,10000
SEDAN,N,1660,10000
SEDAN,N,1670,10000
SEDAN,N,1680,10000
SEDAN,N,1690,10000
SEDAN,N,1700,10000
SEDAN,N,1710,10000
SEDAN,N,1720,10000
SEDAN,N,1730,10000
SEDAN,N,1740,10000
SEDAN,N,1750,10000
SEDAN,N,1760,10000
SEDAN,N,1770,10000
SEDAN,N,1780,10000
SEDAN,N,1790,10000
SEDAN,N,1800,10000
SEDAN,N,1810,10000
SEDAN,N,1820,10000
SEDAN,N,1830,10000
SEDAN,N,1840,10000
SEDAN,N,1850,10000
SEDAN,N,1860,10000
SEDAN,N,1870,10000
SEDAN,N,1880,10000
SEDAN,N,1890,10000
SEDAN,N,1900,10000
SEDAN,N,1910,10000
SEDAN,N,1920,10000
SEDAN,N,1930,10000
SEDAN,N,1940,10000
SEDAN,N,1950,10000
SEDAN,Y,1960,10000
SEDAN,N,1970,10000
SEDAN,N,1980,10000
SEDAN,N,1990,10000
SEDAN,Y,2000,10000
SEDAN,N,2010,10000
SEDAN,N,2020,10000
SEDAN,N,2030,10000
SEDAN,N,2040,10000
SEDAN,N,2050,10000
SEDAN,N,2060,10000
SEDAN,N,2070,10000
SEDAN,N,2080,10000
SEDAN,N,2090,10000
SEDAN,N,2100,10000
SEDAN,N,2110,10000
SEDAN,N,2120,10000
SEDAN,N,2130,10000
SEDAN,N,2140,10000
SEDAN,N,2150,10000
SEDAN,N,2160,10000
SEDAN,N,2170,10000
SEDAN,N,2180,10000
SEDAN,N,2190,10000
SEDAN,Y,2200,10000
SEDAN,N,2210,10000
SEDAN,N,2220,10000
SEDAN,N,2230,10000
SEDAN,N,2240,10000
SEDAN,N,2250,10000
SEDAN,N,2260,10000
SEDAN,N,2270,10000
SEDAN,N,2280,10000
SEDAN,N,2290,10000
SEDAN,N,2300,10000
SEDAN,N,2310,10000
SEDAN,N,2320,10000
SEDAN,N,2330,10000
SEDAN,N,2340,10000
SEDAN,N,2350,10000
SEDAN,N,2360,10000
SEDAN,N,2370,10000
SEDAN,N,2380,10000
SEDAN,N,2390,10000
SEDAN,N,2400,10000
SEDAN,N,2410,10000
SEDAN,N,2420,10000
SEDAN,N,2430,10000
SEDAN,N,2440,10000
SEDAN,N,2450,10000
SEDAN,N,2460,10000
SEDAN,N,2470,10000
SEDAN,N,2480,10000
SEDAN,N,2490,10000
SEDAN,N,2500,10000
SEDAN,N,2510,10000
SEDAN,N,2520,10000
SEDAN,N,2530,10000
SEDAN,N,2540,10000
SEDAN,N,2550,10000
SEDAN,N,2560,10000
SEDAN,N,2570,10000
SEDAN,N,2580,10000
SEDAN,N,2590,10000
SEDAN,N,2600,10000
SEDAN,N,2610,10000
SEDAN,N,2620,10000
SEDAN,Y,2630,10000
SEDAN,N,2640,10000
SEDAN,N,2650,10000
SEDAN,N,2660,10000
SEDAN,N,2670,10000
SEDAN,N,2680,10000
SEDAN,N,2690,10000
SEDAN,N,2700,10000
SEDAN,N,2710,10000
SEDAN,N,2720,10000
SEDAN,N,2730,10000
SEDAN,N,2740,10000
SEDAN,N,2750,10000
SEDAN,N,2760,10000
SEDAN,N,2770,10000
SEDAN,N,2780,10000
SEDAN,N,2790,10000
SEDAN,N,2800,10000
SEDAN,Y,2810,10000
SEDAN,N,2820,10000
SEDAN,N,2830,10000
SEDAN,N,2840,10000
SEDAN,N,2850,10000
SEDAN,N,2860,10000
SEDAN,N,2870,10000
SEDAN,N,2880,10000
SEDAN,N,2890,10000
SEDAN,N,2900,10000
SEDAN,N,2910,10000
SEDAN,N,2920,10000
SEDAN,N,2930,10000
SEDAN,N,2940,10000
SEDAN,N,2950,10000
SEDAN,N,2960,10000
SEDAN,N,2970,10000
SEDAN,N,2980,10000
SEDAN,N,2990,10000
SEDAN,N,3000,10000
SEDAN,Y,3010,10000
SEDAN,N,3020,10000
SEDAN,N,3030,10000
SEDAN,N,3040,10000
SEDAN,N,3050,10000
SEDAN,N,3060,10000
SEDAN,N,3070,10000
SEDAN,N,3080,10000
SEDAN,N,3090,10000
SEDAN,N,3100,10000
SEDAN,N,3110,10000
SEDAN,N,3120,10000
SEDAN,N,3130,10000
SEDAN,N,3140,10000
SEDAN,N,3150,10000
SEDAN,N,3160,10000
SEDAN,N,3170,10000
SEDAN,N,3180,10000
SEDAN,N,3190,10000
SEDAN,N,3200,10000
SEDAN,N,3210,10000
SEDAN,N,3220,10000
SEDAN,N,3230,10000
SEDAN,N,3240,10000
SEDAN,N,3250,10000
SEDAN,N,3260,10000
SEDAN,N,3270,10000
SEDAN,N,3280,10000
SEDAN,N,3290,10000
SEDAN,N,3300,10000
SEDAN,N,3310,10000
SEDAN,N,3320,10000
SEDAN,N,3330,10000
SEDAN,N,3340,10000
SEDAN,N,3350,10000
SEDAN,N,3360,10000
SEDAN,N,3370,10000
SEDAN,N,3380,10000
SEDAN,N,3390,10000
SEDAN,Y,3400,10000
SEDAN,N,3410,10000
SEDAN,N,3420,10000
SEDAN,N,3430,10000
SEDAN,N,3440,10000
SEDAN,N,3450,10000
SEDAN,N,3460,10000
SEDAN,N,3470,10000
SEDAN,N,3480,10000
SEDAN,N,3490,10000
SEDAN,N,3500,10000
SEDAN,N,3510,10000
SEDAN,N,3520,10000
SEDAN,N,3530,10000
SEDAN,N,3540,10000
SEDAN,N,3550,10000
SEDAN,N,3560,10000
SEDAN,N,3570,10000
SEDAN,N,3580,10000
SEDAN,N,3590,10000
SEDAN,Y,3600,10000
SEDAN,N,3610,10000
SEDAN,N,3620,10000
SEDAN,N,3630,10000
SEDAN,Y,3640,10000
SEDAN,N,3650,10000
SEDAN,N,3660,10000
SEDAN,N,3670,10000
SEDAN,N,3680,10000
SEDAN,N,3690,10000
SEDAN,N,3700,10000
SEDAN,N,3710,10000
SEDAN,N,3720,10000
SEDAN,N,3730,10000
SEDAN,N,3740,10000
SEDAN,N,3750,10000
SEDAN,N,3760,10000
SEDAN,N,3770,10000
SEDAN,N,3780,10000
SEDAN,N,3790,10000
SEDAN,N,3800,10000
SEDAN,N,3810,10000
SEDAN,N,3820,10000
SEDAN,Y,3830,10000
SEDAN,N,3840,10000
SEDAN,N,3850,10000
SEDAN,N,3860,10000
SEDAN,N,3870,10000
SEDAN,N,3880,10000
SEDAN,N,3890,10000
SEDAN,N,3900,10000
SEDAN,N,3910,10000
SEDAN,Y,3920,10000
SEDAN,N,3930,10000
SEDAN,N,3940,10000
SEDAN,N,3950,10000
SEDAN,N,3960,10000
SEDAN,N,3970,10000
SEDAN,N,3980,10000
SEDAN,N,3990,10000
SEDAN,N,4000,10000
SEDAN,N,4010,10000
SEDAN,N,4020,10000
SEDAN,N,4030,10000
SEDAN,N,4040,10000
SEDAN,N,4050,10000
SEDAN,N,4060,10000
SEDAN,N,4070,10000
SEDAN,N,4080,10000
SEDAN,Y,4090,10000
SEDAN,N,4100,10000
SEDAN,N,4110,10000
SEDAN,N,4120,10000
SEDAN,N,4130,10000
SEDAN,N,4140,10000
SEDAN,N,4150,10000
SEDAN,N,4160,10000
SEDAN,N,4170,10000
SEDAN,N,4180,10000
SEDAN,N,4190,10000
SEDAN,N,4200,10000
SEDAN,Y,4210,10000
SEDAN,N,4220,10000
SEDAN,N,4230,10000
SEDAN,N,4240,10000
SEDAN,N,4250,10000
SEDAN,Y,4260,10000
SEDAN,N,4270,10000
SEDAN,N,4280,10000
SEDAN,N,4290,10000
SEDAN,N,4300,10000
SEDAN,N,4310,10000
SEDAN,Y,4320,10000
SEDAN,N,4330,10000
SEDAN,N,4340,10000
SEDAN,N,4350,10000
SEDAN,N,4360,10000
SEDAN,N,4370,10000
SEDAN,N,4380,10000
SEDAN,N,4390,10000
SEDAN,N,4400,10000
SEDAN,N,4410,10000
SEDAN,N,4420,10000
SEDAN,N,4430,10000
SEDAN,N,4440,10000
SEDAN,N,4450,10000
SEDAN,N,4460,10000
SEDAN,N,4470,10000
SEDAN,N,4480,10000
SEDAN,N,4490,10000
SEDAN,N,4500,10000
SEDAN,N,4510,10000
SEDAN,N,4520,10000
SEDAN,N,4530,10000
SEDAN,N,4540,10000
SEDAN,N,4550,10000
SEDAN,N,4560,10000
SEDAN,N,4570,10000
SEDAN,N,4580,10000
SEDAN,N,4590,10000
SEDAN,N,4600,10000
SEDAN,N,4610,10000
SEDAN,N,4620,10000
SEDAN,N,4630,10000
SEDAN,N,4640,10000
SEDAN,N,4650,10000
SEDAN,N,4660,10000
SEDAN,N,4670,10000
SEDAN,N,4680,10000
SEDAN,N,4690,10000
SEDAN,N,4700,10000
SEDAN,N,4710,10000
SEDAN,N,4720,10000
SEDAN,N,4730,10000
SEDAN,N,4740,10000
SEDAN,N,4750,10000
SEDAN,N,4760,10000
SEDAN,N,4770,10000
SEDAN,N,4780,10000
SEDAN,Y,4790,10000
SEDAN,N,4800,10000
SEDAN,N,4810,10000
SEDAN,N,4820,10000
SEDAN,N,4830,10000
SEDAN,N,4840,10000
SEDAN,N,4850,10000
SEDAN,N,4860,10000
SEDAN,N,4870,10000
SEDAN,N,4880,10000
SEDAN,N,4890,10000
SEDAN,N,4900,10000
SEDAN,N,4910,10000
SEDAN,N,4920,10000
SEDAN,N,4930,10000
SEDAN,N,4940,10000
SEDAN,N,4950,10000
SEDAN,N,4960,10000
SEDAN,N,4970,10000
SEDAN,N,4980,10000
SEDAN,N,4990,10000
SEDAN,N,5000,10000
SEDAN,N,5010,10000
SEDAN,N,5020,10000
SEDAN,N,5030,10000
SEDAN,N,5040,10000
SEDAN,N,5050,10000
SEDAN,N,5060,10000
SEDAN,N,5070,10000
SEDAN,N,5080,10000
SEDAN,N,5090,10000
SEDAN,N,5100,10000
SEDAN,N,5110,10000
SEDAN,N,5120,10000
SEDAN,N,5130,10000
SEDAN,N,5140,10000
SEDAN,N,5150,10000
SEDAN,N,5160,10000
SEDAN,N,5170,10000
SEDAN,N,5180,10000
SEDAN,Y,5190,10000
SEDAN,N,5200,10000
SEDAN,N,5210,10000
SEDAN,N,5220,10000
SEDAN,N,5230,10000
SEDAN,N,5240,10000
SEDAN,N,5250,10000
SEDAN,N,5260,10000
SEDAN,N,5270,10000
SEDAN,N,5280,10000
SEDAN,N,5290,10000
SEDAN,N,5300,10000
SEDAN,N,5310,10000
SEDAN,N,5320,10000
SEDAN,N,5330,10000
SEDAN,N,5340,10000
SEDAN,N,5350,10000
SEDAN,N,5360,10000
SEDAN,N,5370,10000
SEDAN,N,5380,10000
SEDAN,N,5390,10000
SEDAN,N,5400,10000
SEDAN,N,5410,10000
SEDAN,N,5420,10000
SEDAN,N,5430,10000
SEDAN,N,5440,10000
SEDAN,N,5450,10000
SEDAN,N,5460,10000
SEDAN,N,5470,10000
SEDAN,N,5480,10000
SEDAN,N,5490,10000
SEDAN,N,5500,10000
SEDAN,N,5510,10000
SEDAN,N,5520,10000
SEDAN,Y,5530,10000
SEDAN,N,5540,10000
SEDAN,N,5550,10000
SEDAN,N,5560,10000
SEDAN,N,5570,10000
SEDAN,N,5580,10000
SEDAN,N,5590,10000
SEDAN,N,5600,10000
SEDAN,N,5610,10000
SEDAN,N,5620,10000
SEDAN,N,5630,10000
SEDAN,N,5640,10000
SEDAN,N,5650,10000
SEDAN,N,5660,10000
SEDAN,N,5670,10000
SEDAN,N,5680,10000
SEDAN,N,5690,10000
SEDAN,N,5700,10000
SEDAN,N,5710,10000
SEDAN,N,5720,10000
SEDAN,Y,5730,10000
SEDAN,N,5740,10000
SEDAN,N,5750,10000
SEDAN,N,5760,10000
SEDAN,N,5770,10000
SEDAN,N,5780,10000
SEDAN,Y,5790,10000
SEDAN,N,5800,10000
SEDAN,N,5810,10000
SEDAN,N,5820,10000
SEDAN,N,5830,10000
SEDAN,N,5840,10000
SEDAN,N,5850,10000
SEDAN,N,5860,10000
SEDAN,N,5870,10000
SEDAN,Y,5880,10000
SEDAN,Y,5890,10000
SEDAN,N,5900,10000
SEDAN,N,5910,10000
SEDAN,N,5920,10000
SEDAN,N,5930,10000
SEDAN,N,5940,10000
SEDAN,N,5950,10000
SEDAN,N,5960,10000
SEDAN,N,5970,10000
SEDAN,N,5980,10000
SEDAN,N,5990,10000
SEDAN,N,6000,10000
SEDAN,N,6010,10000
SEDAN,N,6020,10000
SEDAN,N,6030,10000
SEDAN,N,6040,10000
SEDAN,N,6050,10000
SEDAN,N,6060,10000
SEDAN,N,6070,10000
SEDAN,N,6080,10000
SEDAN,N,6090,10000
SEDAN,N,6100,10000
SEDAN,N,6110,10000
SEDAN,N,6120,10000
SEDAN,N,6130,10000
SEDAN,N,6140,10000
SEDAN,N,6150,10000
SEDAN,N,6160,10000
SEDAN,N,6170,10000
SEDAN,N,6180,10000
SEDAN,N,6190,10000
SEDAN,N,6200,10000
SEDAN,N,6210,10000
SEDAN,N,6220,10000
SEDAN,N,6230,10000
SEDAN,N,6240,10000
SEDAN,N,6250,10000
SEDAN,N,6260,10000
SEDAN,N,6270,10000
SEDAN,N,6280,10000
SEDAN,N,6290,10000
SEDAN,N,6300,10000
SEDAN,N,6310,10000
SEDAN,N,6320,10000
SEDAN,Y,6330,10000
SEDAN,N,6340,10000
SEDAN,N,6350,10000
SEDAN,N,6360,10000
SEDAN,N,6370,10000
SEDAN,N,6380,10000
SEDAN,N,6390,10000
SEDAN,N,6400,10000
SEDAN,N,6410,10000
SEDAN,N,6420,10000
SEDAN,N,6430,10000
SEDAN,N,6440,10000
SEDAN,N,6450,10000
SEDAN,N,6460,10000
SEDAN,N,6470,10000
SEDAN,N,6480,10000
SEDAN,N,6490,10000
SEDAN,N,6500,10000
SEDAN,N,6510,10000
SEDAN,N,6520,10000
SEDAN,N,6530,10000
SEDAN,N,6540,10000
SEDAN,N,6550,10000
SEDAN,N,6560,10000
SEDAN,N,6570,10000
SEDAN,Y,6580,10000
SEDAN,N,6590,10000
SEDAN,N,6600,10000
SEDAN,N,6610,10000
SEDAN,N,6620,10000
SEDAN,N,6630,10000
SEDAN,N,6640,10000
SEDAN,N,6650,10000
SEDAN,N,6660,10000
SEDAN,N,6670,10000
SEDAN,N,6680,10000
SEDAN,N,6690,10000
SEDAN,N,6700,10000
SEDAN,N,6710,10000
SEDAN,N,6720,10000
SEDAN,N,6730,10000
SEDAN,N,6740,10000
SEDAN,N,6750,10000
SEDAN,N,6760,10000
SEDAN,N,6770,10000
SEDAN,N,6780,10000
SEDAN,N,6790,10000
SEDAN,N,6800,10000
SEDAN,N,6810,10000
SEDAN,N,6820,10000
SEDAN,N,6830,10000
SEDAN,N,6840,10000
SEDAN,N,6850,10000
SEDAN,N,6860,10000
SEDAN,N,6870,10000
SEDAN,N,6880,10000
SEDAN,N,6890,10000
SEDAN,Y,6900,10000
