Spec,Disabled,Entry,Parking
COUPE,N,10,1000
COUPE,N,20,1000
COUPE,N,30,1000
COUPE,N,40,1000
COUPE,N,50,1000
COUPE,N,60,1000
COUPE,N,70,1000
COUPE,N,80,1000
COUPE,N,90,1000
COUPE,N,100,1000
COUPE,N,110,1000
COUPE,N,120,1000
COUPE,N,130,1000
COUPE,N,140,1000
COUPE,N,150,1000
COUPE,N,160,1000
COUPE,N,170,1000
COUPE,N,180,1000
COUPE,N,190,1000
COUPE,N,200,1000
COUPE,N,210,1000
COUPE,N,220,1000
COUPE,N,230,1000
COUPE,N,240,1000
COUPE,N,250,1000
COUPE,N,260,1000
COUPE,N,270,1000
COUPE,N,280,1000
COUPE,N,290,1000
COUPE,N,300,1000
COUPE,N,310,1000
COUPE,Y,320,1000
COUPE,N,330,1000
COUPE,N,340,1000
COUPE,N,350,1000
COUPE,N,360,1000
COUPE,N,370,1000
COUPE,N,380,1000
COUPE,N,390,1000
COUPE,N,400,1000
COUPE,N,410,1000
COUPE,Y,420,1000
COUPE,N,430,1000
COUPE,N,440,1000
COUPE,N,450,1000
COUPE,N,460,1000
COUPE,N,470,1000
COUPE,N,480,1000
COUPE,N,490,1000
COUPE,N,500,1000
COUPE,N,510,1000
COUPE,N,520,1000
COUPE,N,530,1000
COUPE,N,540,1000
COUPE,N,550,1000
COUPE,N,560,1000
COUPE,N,570,1000
COUPE,N,580,1000
COUPE,N,590,1000
COUPE,N,600,1000
COUPE,N,610,1000
COUPE,N,620,1000
COUPE,N,630,1000
COUPE,N,640,1000
COUPE,N,650,1000
COUPE,N,660,1000
COUPE,N,670,1000
COUPE,N,680,1000
COUPE,N,690,1000
COUPE,N,700,1000
COUPE,N,710,1000
COUPE,N,720,1000
COUPE,N,730,1000
COUPE,N,740,1000
COUPE,N,750,1000
COUPE,N,760,1000
COUPE,N,770,1000
COUPE,Y,780,1000
COUPE,N,790,1000
COUPE,N,800,1000
COUPE,N,810,1000
COUPE,N,820,1000
COUPE,N,830,1000
COUPE,N,840,1000
COUPE,N,850,1000
COUPE,N,860,1000
COUPE,N,870,1000
COUPE,N,880,1000
COUPE,N,890,1000
COUPE,N,900,1000
COUPE,N,910,1000
COUPE,N,920,1000
COUPE,N,930,1000
COUPE,N,940,1000
COUPE,N,950,1000
COUPE,N,960,1000
COUPE,N,970,1000
COUPE,N,980,1000
COUPE,N,990,1000
COUPE,N,1000,1000
