Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
114.1999999998823,111.27999999988458,114.1999999998823,0.0,4.654054919228656E-13,0.0,82.61691876743335,82.42693641611119,82.79554347818741,33.274293347654805,31.92318646319815,34.495439454797115,0.3174631404843159,0.15510687132415754,0.16362245896110397,357.0,173.0,184.0

VIN,Starting Road,Vehicle Spec,Start Time,Finish Time,Delay,Final Velocity,Max Velocity,Min Velocity,Final X Position,Final Y Position
344867,MERGING_ROAD,COUPE,4.2399999999999975,19.799999999999667,0.0,20.0,20.0,20.0,319.6382608867689,41.99991881404338
344868,TARGET_ROAD,VAN,4.399999999999994,24.159999999999574,3.7399999999998315,20.0,20.0,0.0,320.86478349159995,42.0
344869,MERGING_ROAD,SEDAN,8.8599999999999,24.77999999999956,0.2999999999999048,20.0,20.0,15.319999999999995,320.6800250987885,41.999929046982096
344870,MERGING_ROAD,SUV,12.63999999999982,28.279999999999486,0.019999999999910756,20.0,20.0,20.0,320.84374347760206,41.99992547360238
344871,MERGING_ROAD,VAN,15.41999999999976,31.079999999999426,0.019999999999910756,20.0,20.0,20.0,321.2382714451152,41.99991835040527
344872,TARGET_ROAD,SUV,16.119999999999745,33.37999999999962,1.260000000000126,20.0,20.0,6.816600000000001,320.91172922193,42.0
344873,TARGET_ROAD,SEDAN,19.13999999999968,35.139999999999894,4.654054919228656E-13,20.0,20.0,20.0,320.7999999999989,42.0
344874,MERGING_ROAD,SUV,26.459999999999525,42.14000000000099,0.060000000001707576,20.0,20.0,20.0,320.84374347760206,41.99992547360238
344875,MERGING_ROAD,VAN,29.659999999999457,45.36000000000149,0.06000000000227956,20.0,20.0,20.0,321.2382714451152,41.99991835040527
344876,TARGET_ROAD,SUV,31.999999999999407,48.000000000001904,2.7498003873915877E-12,20.0,20.0,20.0,320.7999999999989,42.0
344877,TARGET_ROAD,SEDAN,34.47999999999979,50.48000000000229,2.7533531010703882E-12,20.0,20.0,20.0,320.7999999999989,42.0
344878,MERGING_ROAD,COUPE,38.64000000000044,54.30000000000289,0.10000000000269083,20.0,20.0,20.0,319.6382608867689,41.99991881404338
344879,TARGET_ROAD,COUPE,39.98000000000065,55.92000000000314,2.7426949600339867E-12,20.0,20.0,20.0,319.59999999999894,42.0
344880,MERGING_ROAD,SUV,41.24000000000085,56.98000000000331,0.12000000000270461,20.0,20.0,20.0,320.84374347760206,41.99992547360238
344881,TARGET_ROAD,COUPE,42.10000000000098,58.760000000003586,0.7200000000028552,20.0,20.0,9.200000000000003,319.7439999999984,42.0
344882,MERGING_ROAD,SEDAN,43.720000000001235,60.08000000000379,0.7400000000028015,20.0,20.0,11.484999999999998,320.5888069623874,41.999924564456165
344883,TARGET_ROAD,SUV,44.54000000000136,63.64000000000435,3.100000000003238,20.0,20.0,0.0,320.78021093117263,42.0
344884,MERGING_ROAD,VAN,46.020000000001595,67.30000000000375,5.640000000002399,20.0,20.0,0.0,320.8986514189245,41.99993879852106
344885,TARGET_ROAD,SEDAN,48.48000000000198,70.60000000000309,6.120000000001365,20.0,20.0,0.0,320.66111858974153,42.0
344886,MERGING_ROAD,VAN,49.600000000002154,74.0800000000024,8.84000000000049,20.0,20.0,0.0,320.8987812696689,41.99993879948123
