Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
7.17999999997981,2.239999999984178,7.17999999997981,0.0,0.0,0.0,1.2437499999943522,0.13212435233156863,2.280193236704098,1.518601638837027,0.3941701390566314,1.44399337631969,0.3947030846048522,0.19044423832184118,0.20466275137937642,400.0,193.0,207.0

VIN,Starting Road,Vehicle Spec,Start Time,Finish Time,Delay,Final Velocity,Max Velocity,Min Velocity,Final X Position,Final Y Position
436826,MERGING_ROAD,SEDAN,0.5000000000000001,15.779999999999752,0.0,20.0,20.0,20.0,309.4689944845939,41.99992489104153
436827,MERGING_ROAD,VAN,6.299999999999954,21.59999999999963,0.0,20.0,20.0,20.0,309.81857308681157,41.99993045370561
436828,MERGING_ROAD,SEDAN,8.199999999999914,23.47999999999959,0.0,20.0,20.0,20.0,309.4689944845939,41.99992489104153
436829,TARGET_ROAD,SUV,8.8599999999999,24.29999999999957,0.0,20.0,20.0,20.0,309.5999999999995,42.0
436830,MERGING_ROAD,VAN,10.219999999999871,25.539999999999544,0.019999999999910756,20.0,20.0,20.0,309.81857308681157,41.99993045370561
436831,MERGING_ROAD,SEDAN,11.919999999999835,27.21999999999951,0.019999999999910756,20.0,20.0,20.0,309.4689944845939,41.99992489104153
436832,MERGING_ROAD,SUV,15.199999999999765,30.49999999999944,0.019999999999910756,20.0,20.0,20.0,309.475385813106,41.99992560953663
436833,TARGET_ROAD,SUV,15.699999999999754,31.139999999999425,0.0,20.0,20.0,19.22,309.5127744125321,42.0
436834,MERGING_ROAD,SUV,18.619999999999692,33.939999999999706,0.04000000000025139,20.0,20.0,20.0,309.475385813106,41.99992560953663
436835,TARGET_ROAD,VAN,22.01999999999962,37.46000000000026,8.775202786637237E-13,20.0,20.0,20.0,309.5999999999995,42.0
436836,MERGING_ROAD,VAN,25.379999999999548,40.74000000000077,0.060000000001458886,20.0,20.0,20.0,309.81857308681157,41.99993045370561
436837,MERGING_ROAD,SUV,27.239999999999508,42.58000000000106,0.060000000001785736,20.0,20.0,20.0,309.475385813106,41.99992560953663
436838,TARGET_ROAD,VAN,28.179999999999488,43.62000000000122,1.971756091734278E-12,20.0,20.0,20.0,309.5999999999995,42.0
436839,TARGET_ROAD,SEDAN,36.76000000000015,52.18000000000256,2.6503244043851737E-12,20.0,20.0,20.0,309.19999999999953,42.0
436840,MERGING_ROAD,SUV,37.960000000000335,53.34000000000274,0.10000000000264109,20.0,20.0,20.0,309.475385813106,41.99992560953663
436841,TARGET_ROAD,SUV,39.58000000000059,55.020000000003,2.653877118063974E-12,20.0,20.0,20.0,309.5999999999995,42.0
