Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
5.159999999967916,2.3399999999701784,5.159999999967916,0.0,0.0,1.2079226507921703E-13,1.0274305555456957,0.16643835616432123,1.912676056318094,1.254681924337086,0.5186702435444901,1.1706203456414723,0.27976919041808085,0.14182743680916599,0.13828834092954018,288.0,146.0,142.0

VIN,Starting Road,Vehicle Spec,Start Time,Finish Time,Delay,Final Velocity,Max Velocity,Min Velocity,Final X Position,Final Y Position
202677,MERGING_ROAD,VAN,2.2000000000000015,32.979999999999556,1.2079226507921703E-13,10.0,10.0,10.0,311.1416059042737,41.99997351981412
202678,TARGET_ROAD,SEDAN,4.199999999999998,35.23999999999991,4.831690603168681E-13,10.0,10.0,10.0,310.7999999999909,42.0
202679,TARGET_ROAD,COUPE,11.339999999999847,42.28000000000101,1.7337242752546445E-12,10.0,10.0,10.0,309.799999999991,42.0
202680,MERGING_ROAD,SEDAN,12.919999999999813,43.70000000000123,0.040000000001985114,10.0,10.0,10.0,310.7552493522264,41.999972070184796
202681,TARGET_ROAD,VAN,18.059999999999704,49.14000000000208,2.9523050670832163E-12,10.0,10.0,10.0,311.1999999999909,42.0
202682,MERGING_ROAD,SEDAN,18.539999999999694,51.62000000000247,2.340000000003343,10.0,10.0,0.0,310.77108955578313,41.999970420835275
202683,MERGING_ROAD,SUV,24.719999999999562,55.54000000000308,0.060000000004087894,10.0,10.0,10.0,310.9652976033501,41.999970780376024
202684,TARGET_ROAD,COUPE,29.819999999999453,60.7600000000039,5.016431714466307E-12,10.0,10.0,10.0,309.799999999991,42.0
202685,MERGING_ROAD,SUV,30.539999999999438,63.02000000000425,1.7200000000053812,10.0,10.0,0.0,310.91582303157,41.99997073309175
202686,TARGET_ROAD,VAN,40.780000000000776,71.86000000000284,2.639666263348772E-12,10.0,10.0,10.0,311.1999999999909,42.0
202687,MERGING_ROAD,VAN,42.90000000000111,73.78000000000246,0.10000000000191989,10.0,10.0,10.0,311.1416059042737,41.99997351981412
202688,TARGET_ROAD,SUV,44.7800000000014,75.82000000000205,1.2256862191861728E-12,10.0,10.0,10.0,310.7999999999909,42.0
202689,MERGING_ROAD,COUPE,47.70000000000186,78.46000000000153,0.12000000000023547,10.0,10.0,10.0,309.7014464062226,41.99997608910463
202690,TARGET_ROAD,SUV,51.10000000000239,82.1400000000008,0.0,10.0,10.0,10.0,310.7999999999909,42.0
202691,MERGING_ROAD,COUPE,52.860000000002664,83.6400000000005,0.1399999999983983,10.0,10.0,10.0,309.7014464062226,41.99997608910463
202692,MERGING_ROAD,COUPE,56.900000000003295,87.6799999999997,0.139999999996963,10.0,10.0,10.0,309.7014464062226,41.99997608910463
202693,TARGET_ROAD,VAN,59.5000000000037,90.57999999999912,0.0,10.0,10.0,10.0,311.1999999999909,42.0
202694,TARGET_ROAD,SEDAN,70.96000000000302,101.99999999999685,0.0,10.0,10.0,10.0,310.7999999999909,42.0
202695,MERGING_ROAD,VAN,72.70000000000267,103.65999999999651,0.17999999999440774,10.0,10.0,10.0,311.1416059042737,41.99997351981412
202696,TARGET_ROAD,VAN,75.30000000000216,106.37999999999597,0.0,10.0,10.0,10.0,311.1999999999909,42.0
202697,MERGING_ROAD,VAN,77.1000000000018,108.07999999999564,0.19999999999440377,10.0,10.0,10.0,311.1416059042737,41.99997351981412
202698,TARGET_ROAD,SEDAN,81.100000000001,112.13999999999483,0.0,10.0,10.0,10.0,310.7999999999909,42.0
202699,TARGET_ROAD,SUV,84.6400000000003,115.67999999999412,0.0,10.0,10.0,10.0,310.7999999999909,42.0
202700,TARGET_ROAD,SEDAN,96.03999999999803,127.07999999999186,0.0,10.0,10.0,10.0,310.7999999999909,42.0
202701,TARGET_ROAD,SEDAN,100.31999999999718,131.3599999999934,0.0,10.0,10.0,10.0,310.7999999999909,42.0
202702,MERGING_ROAD,VAN,102.31999999999678,133.37999999999442,0.27999999999821057,10.0,10.0,10.0,311.1416059042737,41.99997351981412
202703,MERGING_ROAD,COUPE,110.2399999999952,141.1599999999984,0.28000000000376346,10.0,10.0,10.0,309.7014464062226,41.99997608910463
202704,TARGET_ROAD,SEDAN,116.09999999999404,147.14000000000146,7.997158490979928E-12,10.0,10.0,10.0,310.7999999999909,42.0
202705,MERGING_ROAD,COUPE,118.01999999999366,148.9600000000024,0.3000000000093017,10.0,10.0,10.0,309.7014464062226,41.99997608910463
202706,TARGET_ROAD,COUPE,120.65999999999313,151.60000000000375,1.1183942660863977E-11,10.0,10.0,10.0,309.799999999991,42.0
202707,MERGING_ROAD,SUV,122.89999999999269,153.98000000000496,0.32000000001284334,10.0,10.0,10.0,310.9652976033501,41.999970780376024
