Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
12.999999999967837,0.03999999999438941,12.999999999967837,0.0,0.0,1.72000000001292,5.13699999998966,2.836879451822313E-4,8.77658291455384,4.683737239567396,0.003356641011051295,2.353486536241608,0.332726596598568,0.1397783373318077,0.19474291977386776,340.0,141.0,199.0

VIN,Starting Road,Vehicle Spec,Start Time,Finish Time,Delay,Final Velocity,Max Velocity,Min Velocity,Final X Position,Final Y Position
439261,TARGET_ROAD,SEDAN,0.1,31.139999999999425,0.0,10.0,10.0,10.0,310.7999999999909,42.0
439262,TARGET_ROAD,SEDAN,5.139999999999978,36.18000000000006,6.501466032204917E-13,10.0,10.0,10.0,310.7999999999909,42.0
439263,MERGING_ROAD,SEDAN,5.279999999999975,38.660000000000444,10.580000000000869,10.0,20.0,0.0,310.77122997259465,41.99997042201023
439264,MERGING_ROAD,SUV,8.539999999999907,39.560000000000585,8.240000000001075,10.0,20.0,0.0,310.87444431018713,41.999970457678266
439265,MERGING_ROAD,SEDAN,10.659999999999862,40.840000000000785,7.380000000001321,10.0,20.0,0.0,310.6677283793942,41.99995953120077
439266,TARGET_ROAD,VAN,12.019999999999833,43.10000000000114,1.879385536085465E-12,10.0,10.0,10.0,311.1999999999909,42.0
439267,MERGING_ROAD,SEDAN,14.47999999999978,45.580000000001526,8.300000000002143,10.0,20.0,0.0,310.7713941427632,41.99997042346429
439268,TARGET_ROAD,SUV,17.519999999999715,48.56000000000199,2.8492763703980017E-12,10.0,10.0,10.0,310.7999999999909,42.0
439269,MERGING_ROAD,VAN,20.59999999999965,51.1600000000024,7.800000000003145,10.0,20.0,0.0,311.11267611151027,41.99996409793591
439270,TARGET_ROAD,COUPE,25.619999999999543,56.56000000000324,4.270361841918202E-12,10.0,10.0,10.0,309.799999999991,42.0
439271,MERGING_ROAD,VAN,28.49999999999948,59.16000000000365,7.900000000004564,10.0,20.0,0.0,311.1127179471243,41.99996409844264
439272,MERGING_ROAD,VAN,33.359999999999616,60.30000000000383,4.180000000004608,10.0,20.0,0.0,311.18232132361413,41.99997351513772
